,UNIQUEID,DRUG,SOURCE,METHOD_3,PHENOTYPE,METHOD_MIC
48,site.01.subj.DR0660.lab.DR0660.iso.1,BDQ,CRyPTIC,UKMYC6,S,<=0.008
49,site.01.subj.DR0663.lab.DR0663.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.03
50,site.01.subj.DR0609.lab.DR0609.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
51,site.01.subj.DR0082.lab.DR0082.iso.1,BDQ,CRyPTIC,UKMYC6,S,<=0.008
52,site.01.subj.DR0595.lab.DR0595.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
53,site.01.subj.DR0153.lab.DR0153.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.015
54,site.01.subj.DR0626.lab.DR0626.iso.1,BDQ,CRyPTIC,UKMYC6,S,<=0.008
55,site.01.subj.DR0618.lab.DR0618.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.03
56,site.01.subj.DR0614.lab.DR0614.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.03
57,site.01.subj.DR0633.lab.DR0633.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.015
58,site.01.subj.DR0684.lab.DR0684.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.03
59,site.01.subj.DR0144.lab.DR0144.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.015
60,site.01.subj.DR0189.lab.DR0189.iso.1,BDQ,CRyPTIC,UKMYC6,S,<=0.008
61,site.01.subj.DR0607.lab.DR0607.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.03
62,site.01.subj.DR0182.lab.DR0182.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.03
63,site.01.subj.DR0639.lab.DR0639.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.03
64,site.01.subj.DR0025.lab.DR0025.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.03
65,site.01.subj.DR0642.lab.DR0642.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.03
66,site.01.subj.DR0637.lab.DR0637.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.015
67,site.01.subj.DR0692.lab.DR0692.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.03
68,site.01.subj.DR0606.lab.DR0606.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.03
69,site.01.subj.DR0702.lab.DR0702.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
70,site.01.subj.DR0722.lab.DR0722.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.03
71,site.01.subj.DR0640.lab.DR0640.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.03
72,site.01.subj.DR0599.lab.DR0599.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
73,site.01.subj.DR0018.lab.DR0018.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.03
74,site.01.subj.DR0712.lab.DR0712.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.03
75,site.01.subj.DR0183.lab.DR0183.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
76,site.01.subj.DR0058.lab.DR0058.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.03
77,site.01.subj.DR0163.lab.DR0163.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.03
78,site.01.subj.DR0594.lab.DR0594.iso.1,BDQ,CRyPTIC,UKMYC6,S,<=0.008
79,site.01.subj.DR0100.lab.DR0100.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.015
80,site.01.subj.DR0587.lab.DR0587.iso.1,BDQ,CRyPTIC,UKMYC6,S,<=0.008
81,site.01.subj.DR0603.lab.DR0603.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.03
82,site.01.subj.DR0616.lab.DR0616.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.03
83,site.01.subj.DR0095.lab.DR0095.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.015
84,site.01.subj.DR0620.lab.DR0620.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.015
85,site.01.subj.DR0696.lab.DR0696.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.03
86,site.01.subj.DR0186.lab.DR0186.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.015
87,site.01.subj.DR0137.lab.DR0137.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.015
88,site.01.subj.DR0615.lab.DR0615.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
89,site.01.subj.DR0057.lab.DR0057.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
90,site.01.subj.DR0596.lab.DR0596.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.015
91,site.20.subj.SA00694508.lab.YA00135489.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.03
92,site.20.subj.SCH8490199.lab.YA00134941.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
93,site.20.subj.SCH7818018.lab.YA00131163.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
94,site.20.subj.SA00323805.lab.YA00135258.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
95,site.20.subj.SA00568663.lab.YA00133012.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.03
96,site.20.subj.SA00404918.lab.YA00132842.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
97,site.20.subj.SA00660060.lab.YA00135476.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
98,site.20.subj.SCH8178332.lab.YA00134202.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
99,site.20.subj.SCH8026847.lab.YA00131201.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.03
100,site.20.subj.SA00261254.lab.YA00135101.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
101,site.20.subj.SA01487976.lab.YA00135949.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
102,site.20.subj.SA00460948.lab.YA00135785.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
103,site.20.subj.SA00628908.lab.YA00135926.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.12
104,site.20.subj.SA00372170.lab.YA00132832.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
105,site.20.subj.SCH8022404.lab.YA00134165.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
106,site.20.subj.SA00235835.lab.YA00132633.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.015
107,site.20.subj.SCH7807678.lab.YA00131160.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
108,site.20.subj.SCH8377126.lab.YA00134602.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
109,site.20.subj.SCH8176496.lab.YA00131574.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.03
110,site.20.subj.SA00419914.lab.YA00135774.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.25
111,site.20.subj.SA00015284.lab.YA00132620.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.015
112,site.20.subj.SCH8100822.lab.YA00135983.iso.1,BDQ,CRyPTIC,UKMYC6,S,<=0.008
113,site.20.subj.SCH8097284.lab.YA00134173.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
114,site.20.subj.SCH8093518.lab.YA00134172.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
115,site.20.subj.SA01629762.lab.YA00131210.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
116,site.20.subj.SA00763236.lab.YA00133031.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.03
117,site.20.subj.SA00262329.lab.YA00132679.iso.1,BDQ,CRyPTIC,UKMYC6,S,<=0.008
118,site.20.subj.SCH8524147.lab.YA00132610.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.03
119,site.20.subj.SA00256590.lab.YA00132640.iso.1,BDQ,CRyPTIC,UKMYC6,S,<=0.008
120,site.20.subj.SA00225996.lab.YA00135091.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
121,site.20.subj.SCH8275212.lab.YA00134214.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.03
122,site.20.subj.SCH7934137.lab.YA00131561.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.03
123,site.20.subj.SA00261271.lab.YA00135100.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
124,site.20.subj.SA00662772.lab.YA00131612.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.03
125,site.20.subj.SA60262325.lab.YA00132991.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.03
126,site.20.subj.SCH7831442.lab.YA00131168.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
127,site.20.subj.SA00436381.lab.YA00132852.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
128,site.20.subj.SA00266149.lab.YA00132680.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.12
129,site.20.subj.SA00436398.lab.YA00135775.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.12
130,site.20.subj.SA01630318.lab.YA00131209.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
131,site.20.subj.SA00649622.lab.YA00135465.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
132,site.20.subj.SA01542062.lab.YA00131204.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.12
133,site.20.subj.SCH8608291.lab.YA00135762.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.12
134,site.20.subj.SA00825199.lab.YA00133036.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
135,site.20.subj.SCH8023914.lab.YA00131199.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
136,site.20.subj.SA00342998.lab.YA00135770.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
137,site.20.subj.SCH8240256.lab.YA00134208.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
138,site.20.subj.SA00390429.lab.YA00135269.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
139,site.20.subj.SCH8167837.lab.YA00134199.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.12
140,site.20.subj.SCH7816734.lab.YA00134135.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.015
141,site.20.subj.SCH7794305.lab.YA00131154.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.12
142,site.20.subj.SCH8339508.lab.YA00134594.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
143,site.20.subj.SCH8516358.lab.YA00134948.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
144,site.20.subj.SCH8175214.lab.YA00134200.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.12
145,site.20.subj.SCH8258271.lab.YA00134211.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.03
146,site.20.subj.SCH7908405.lab.YA00131558.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
147,site.20.subj.SA00032287.lab.YA00134633.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
148,site.20.subj.SA00633021.lab.YA00133014.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.03
149,site.20.subj.SCH8501560.lab.YA00134942.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
150,site.20.subj.SCH7833389.lab.YA00134136.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
151,site.20.subj.SCH8232084.lab.YA00131585.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.03
152,site.20.subj.SA01677358.lab.YA00131640.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.12
153,site.20.subj.SA00219215.lab.YA00135089.iso.1,BDQ,CRyPTIC,UKMYC6,S,<=0.008
154,site.20.subj.SA00281201.lab.YA00135108.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.03
155,site.20.subj.SCH8158114.lab.YA00134195.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
156,site.20.subj.SCH8505059.lab.YA00134944.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
157,site.20.subj.SA01535519.lab.YA00131203.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
158,site.20.subj.SCH8266103.lab.YA00134212.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
159,site.20.subj.SCH7892032.lab.YA00131194.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.03
160,site.20.subj.SA00571111.lab.YA00133568.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.12
161,site.20.subj.SA00104775.lab.YA00134641.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
162,site.20.subj.SA00373718.lab.YA00135772.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.015
163,site.20.subj.SA00413462.lab.YA00135286.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
164,site.20.subj.SCH8502822.lab.YA00132487.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.03
165,site.20.subj.SCH8583983.lab.YA00134965.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
166,site.20.subj.SCH8055207.lab.YA00134170.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
167,site.20.subj.SCH8161347.lab.YA00134196.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
168,site.20.subj.SCH8328202.lab.YA00134593.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
169,site.20.subj.SCH7949701.lab.YA00131197.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.03
170,site.20.subj.SCH7827166.lab.YA00131165.iso.1,BDQ,CRyPTIC,UKMYC6,S,<=0.008
171,site.20.subj.SA00451053.lab.YA00135778.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
172,site.20.subj.SA01666461.lab.YA00131222.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
173,site.20.subj.SA00140582.lab.YA00134642.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.03
174,site.20.subj.SA00693060.lab.YA00133027.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
175,site.20.subj.SA00456205.lab.YA00132855.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.03
176,site.20.subj.SCH7899141.lab.YA00131554.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.03
177,site.20.subj.SA00403699.lab.YA00135279.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.03
178,site.20.subj.SA00422875.lab.YA00135294.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
179,site.20.subj.SA01668436.lab.YA00131621.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
180,site.20.subj.SA00273317.lab.YA00132824.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
181,site.20.subj.SCH8269190.lab.YA00134213.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.03
182,site.20.subj.SA00174223.lab.YA00134646.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
183,site.20.subj.SA00444679.lab.YA00135777.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.03
184,site.20.subj.SA00691560.lab.YA00135486.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
185,site.20.subj.SA01552759.lab.YA00135972.iso.1,BDQ,CRyPTIC,UKMYC6,S,<=0.008
186,site.20.subj.SA00153785.lab.YA00132626.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
187,site.20.subj.SA00647917.lab.YA00134647.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
188,site.20.subj.SA00663212.lab.YA00135933.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
189,site.20.subj.SCH8111202.lab.YA00134175.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
190,site.20.subj.SA00264414.lab.YA00135102.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
191,site.20.subj.SCH8484826.lab.YA00132483.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.03
192,site.20.subj.SA00246806.lab.YA00135099.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
193,site.20.subj.SA00050301.lab.YA00131610.iso.1,BDQ,CRyPTIC,UKMYC6,S,<=0.008
194,site.20.subj.SCH7845961.lab.YA00131177.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
195,site.20.subj.SA00788551.lab.YA00135935.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
196,site.20.subj.SA00763224.lab.YA00133032.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.03
197,site.20.subj.SCH8020831.lab.YA00131655.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.03
198,site.20.subj.SA00416802.lab.YA00135289.iso.1,BDQ,CRyPTIC,UKMYC6,S,<=0.008
199,site.20.subj.SA01522585.lab.YA00135962.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
200,site.20.subj.SA00235834.lab.YA00132637.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.03
201,site.20.subj.SCH8255141.lab.YA00134209.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
202,site.20.subj.SA00459244.lab.YA00132998.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
203,site.20.subj.SA00416804.lab.YA00135287.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.03
204,site.20.subj.SA00631677.lab.YA00135458.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
205,site.20.subj.SCH7951778.lab.YA00134152.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
206,site.20.subj.SA00517762.lab.YA00133005.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.03
207,site.20.subj.SA01630317.lab.YA00131208.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.03
208,site.20.subj.SCH7840343.lab.YA00131172.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
209,site.20.subj.SA00647925.lab.YA00133018.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.12
210,site.20.subj.SA00826828.lab.YA00135938.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
211,site.20.subj.SA00421226.lab.YA00132847.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
212,site.20.subj.SCH8487000.lab.YA00134938.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.03
213,site.20.subj.SA00567467.lab.YA00135452.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
214,site.20.subj.SA01524962.lab.YA00131202.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
215,site.20.subj.SA00413473.lab.YA00135284.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
216,site.20.subj.SCH8213117.lab.YA00134205.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.015
217,site.20.subj.SA00095842.lab.YA00132988.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.03
218,site.20.subj.SA00455334.lab.YA00135780.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
219,site.20.subj.SAM0001110.lab.YA00131622.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
220,site.20.subj.SA01656179.lab.YA00131213.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
221,site.20.subj.SA01562126.lab.YA00131207.iso.1,BDQ,CRyPTIC,UKMYC6,S,<=0.008
222,site.20.subj.SA00459235.lab.YA00132856.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
223,site.20.subj.SCH8449531.lab.YA00131601.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
224,site.20.subj.SA00544557.lab.YA00135919.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.015
225,site.20.subj.SA00019757.lab.YA00135763.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.03
226,site.20.subj.SA00693051.lab.YA00133030.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.015
227,site.20.subj.SA00275084.lab.YA00135106.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
228,site.20.subj.SA01481014.lab.YA00135943.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
229,site.20.subj.SA00097099.lab.YA00134639.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
230,site.20.subj.SA00015290.lab.YA00131609.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
231,site.20.subj.SA01710355.lab.YA00131650.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
232,site.20.subj.SA00079292.lab.YA00134636.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.03
233,site.20.subj.SCH8502825.lab.YA00132488.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.12
234,site.20.subj.SA00267232.lab.YA00135103.iso.1,BDQ,CRyPTIC,UKMYC6,S,<=0.008
235,site.20.subj.SA00032282.lab.YA00135764.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
236,site.20.subj.SA00200539.lab.YA00135086.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
237,site.20.subj.SA00657413.lab.YA00133021.iso.1,BDQ,CRyPTIC,UKMYC6,S,<=0.008
238,site.20.subj.SCH8006649.lab.YA00134160.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
239,site.20.subj.SCH7771658.lab.YA00133549.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
240,site.20.subj.SA01656173.lab.YA00131219.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
241,site.20.subj.SA00663215.lab.YA00135478.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.12
242,site.20.subj.SA00786863.lab.YA00133034.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
243,site.20.subj.SA00695238.lab.YA00133028.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.03
244,site.20.subj.SCH7761649.lab.YA00131098.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.03
245,site.20.subj.SA00668459.lab.YA00133024.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
246,site.20.subj.SA01671530.lab.YA00131626.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.12
247,site.20.subj.SA00202721.lab.YA00135087.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
248,site.20.subj.SA00291133.lab.YA00135251.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
249,site.20.subj.SA00441769.lab.YA00135776.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
250,site.20.subj.SA00014057.lab.YA00134629.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
251,site.20.subj.SA00670918.lab.YA00135480.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
252,site.20.subj.SCH8381668.lab.YA00135760.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
253,site.20.subj.SCH7807673.lab.YA00131157.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.12
